Year,BB_8,BB_7,BB_6,BB_5,BB_4,BB_3,BB_2,BB_1
1981,1,3,4,5,7,9,10,11
1982,1,3,5,6,8,9,11,12
1983,2,3,5,7,8,9,11,12
1984,1,3,5,6,8,9,10,12
1985,1,3,5,6,8,9,10,12
1986,1,3,5,6,8,9,10,12
1987,1,3,5,6,8,9,10,12
1988,1,3,5,6,8,9,10,11
1989,1,3,5,6,8,9,11,12
1990,1,3,5,6,8,9,10,12
1991,1,3,5,6,8,9,10,12
1992,1,3,5,6,8,9,11,12
1993,1,3,5,6,8,9,11,12
1994,1,3,5,6,8,9,11,12
1995,1,3,5,6,8,9,11,12
1996,1,3,5,6,8,9,10,12
1997,1,3,5,6,8,9,10,12
1998,1,3,5,6,8,9,11,12
1999,1,3,5,6,8,9,11,12
2000,1,3,5,6,8,9,11,12
2001,1,3,5,6,8,9,10,11
2002,1,3,4,6,7,9,10,11
2003,1,3,4,6,7,9,10,11
2004,1,3,4,6,7,9,10,12
2005,1,3,4,6,7,9,10,11
2006,1,3,4,6,7,9,10,11
2007,1,3,4,6,7,9,10,11
2008,1,3,4,6,7,9,10,12
2009,1,3,4,6,7,9,10,12
2010,1,3,4,6,7,9,10,12
2011,1,3,4,6,7,9,10,11
2012,1,2,4,6,7,8,10,11
2013,1,3,4,6,7,9,10,12
2014,1,3,4,6,7,9,10,12
2015,1,3,4,6,7,9,10,12
2016,1,3,4,6,7,9,10,11
2017,1,3,4,5,7,9,10,11
2018,1,3,4,5,7,9,10,12
2019,1,3,4,6,7,9,10,11
2020,1,3,4,5,7,9,10,12
2021,1,3,4,6,7,9,10,12
2022,1,3,4,6,7,9,10,11
2023,1,3,4,5,7,9,10,11
2024,1,3,4,5,7,9,10,12
