file_name,Date,Year,District,econ_index,econ_index_levels,USPHCI,econ_index_dummy,compound_score,mean_sentiment,median_sentiment,IQR_sentiment,sentiment_trigram,econ_index_change,econ_index_change_dummy
1979_bo (6).txt,1979-05-01,1979,1,0.22,46.59,46.37,1,0.8284,0.1056702702702702,0.0,0.4276999999999999,0.0,,0
1979_bo (5).txt,1979-06-01,1979,1,0.3,46.8,46.5,1,-0.3189,-0.0032520833333333,0.0,0.520375,0.0,0.4507405022536881,1
1979_bo (4).txt,1979-07-01,1979,1,0.28,46.9,46.62,1,-0.9199,-0.0310113636363636,0.0,0.879575,0.0,0.21367521367521292,1
1979_bo (3).txt,1979-09-01,1979,1,0.43,47.21,46.78,1,-0.9602,-0.0244090909090909,0.0258,0.8756999999999999,-0.0396999999999999,0.6609808102345571,1
1979_bo (2).txt,1979-10-01,1979,1,0.44,47.31,46.87,1,0.9886,0.1066489361702127,0.0,0.6039500000000001,0.0,0.21181952976063734,1
1979_bo (1).txt,1979-12-01,1979,1,0.49,47.54,47.05,1,0.9926,0.0340047619047619,0.0,0.683,0.0,0.4861551469033998,1
1980_bo (8).txt,1980-01-01,1980,1,0.54,47.63,47.09,1,0.9981,0.1757166666666667,0.2732,0.66195,0.0,0.18931426167438925,1
1980_bo (7).txt,1980-03-01,1980,1,0.26,47.52,47.26,1,0.9941,0.0714612244897959,0.0,0.5348999999999999,0.0,-0.2309468822170868,0
1980_bo (6).txt,1980-05-01,1980,1,0.16,47.18,47.02,1,0.9532,0.0607794871794871,0.0,0.4233,0.1272666666666666,-0.7154882154882247,0
1980_bo (5).txt,1980-06-01,1980,1,0.04,46.96,46.92,1,-0.1452,0.0166948717948718,0.0,0.5944999999999999,0.0,-0.4662992793556531,0
1980_bo (4).txt,1980-07-01,1980,1,0.13,46.95,46.82,1,0.9774,0.0641341463414634,0.0516,0.8406,0.0,-0.02129471890970347,0
1980_bo (3).txt,1980-09-01,1980,1,0.19,47.18,46.99,1,-0.9729,-0.0084794871794871,0.0,0.46045,0.1993666666666667,0.4898828541000988,1
1980_bo (2).txt,1980-10-01,1980,1,0.34,47.45,47.11,1,0.9954,0.1014744186046511,0.0,0.4891,0.0,0.5722763883001303,1
1980_bo (1).txt,1980-12-01,1980,1,0.33,47.75,47.42,1,0.615,0.0088285714285714,0.0,0.45245,0.0,0.6322444678608985,1
1981_bo (8).txt,1981-01-01,1981,1,0.44,47.91,47.47,1,0.9952,0.1464159090909091,0.2023,0.574,0.1858,0.33507853403140775,1
1981_bo (7).txt,1981-03-01,1981,1,0.35,48.05,47.7,1,0.9978,0.1380673913043478,0.0258,0.4994499999999999,0.0,0.2922145689835176,1
1981_bo (5).txt,1981-06-01,1981,1,0.24,48.21,47.97,1,0.9971,0.1789978260869565,0.0516,0.4784,0.0,0.3329864724245679,1
1981_bo (4).txt,1981-07-01,1981,1,0.11,48.22,48.11,1,-0.3387,0.0124380952380952,0.0,0.34345,0.0,0.0207425845260234,1
1981_bo (3).txt,1981-09-01,1981,1,-0.08,48.06,48.14,0,-0.9906,0.0097596153846153,0.0,0.7218,0.0,-0.3318125259228477,0
1981_bo (2).txt,1981-10-01,1981,1,-0.19,47.900000000000006,48.09,0,0.9639,0.0192039215686274,0.0,0.6174,0.0,-0.33291718684976823,0
1981_bo (1).txt,1981-12-01,1981,1,-0.43,47.53,47.96,0,-0.9943,0.0141875,0.0,0.61915,0.0,-0.7724425887265185,0
1982_bo (8).txt,1982-01-01,1982,1,-0.56,47.31,47.87,0,0.9968,0.0656531249999999,0.0,0.6595249999999999,0.0,-0.4628655585945718,0
1982_bo (7).txt,1982-03-01,1982,1,-0.61,47.19,47.8,0,-0.9771,-0.0145229508196721,0.0,0.743,-0.0759333333333333,-0.25364616360178394,0
1982_bo (6).txt,1982-05-01,1982,1,-0.63,47.07,47.7,0,0.9813,0.0673689655172414,0.0557,0.5682,0.0,-0.2542911633820699,0
1982_bo (5).txt,1982-06-01,1982,1,-0.51,47.1,47.61,0,-0.8028,-0.0089939999999999,0.0,0.8307,0.0,0.06373486297004405,1
1982_bo (4).txt,1982-07-01,1982,1,-0.35,47.16,47.51,0,0.9974,0.0922741935483871,0.0,0.6712750000000001,-0.2468,0.1273885350318471,1
1982_bo (3).txt,1982-09-01,1982,1,-0.3,47.1,47.4,0,0.9868,0.065,0.0,0.443825,0.0,-0.12722646310431296,0
1982_bo (2).txt,1982-10-01,1982,1,-0.18,47.11,47.29,0,0.9968,0.1808509433962264,0.2235,0.645,0.2148333333333333,0.02123142250529675,1
1982_bo (1).txt,1982-12-01,1982,1,0.0,47.24,47.24,0,0.9991,0.2103481481481481,0.2023,0.430775,0.0,0.27594990447887824,1
1983_bo (8).txt,1983-01-01,1983,1,-0.02,47.36,47.38,0,0.9967,0.10293,0.0,0.363975,0.0,0.2540220152413175,1
1983_bo (7).txt,1983-03-01,1983,1,0.44,47.97,47.53,1,0.9988,0.1989951612903226,0.2023,0.43875,0.0,1.2880067567567544,1
1983_bo (6).txt,1983-05-01,1983,1,0.9,48.75,47.85,1,0.999,0.1669588235294118,0.128,0.4802,0.1165333333333333,1.6260162601626105,1
1983_bo (5).txt,1983-06-01,1983,1,1.24,49.27,48.03,1,0.9984,0.1768,0.0,0.6088,0.2906,1.0666666666666824,1
1983_bo (4).txt,1983-07-01,1983,1,1.33,49.7,48.37,1,0.9983,0.1705790697674418,0.1655,0.4841,0.0,0.8727420336918978,1
1983_bo (3).txt,1983-09-01,1983,1,1.8,50.61,48.81,1,0.9957,0.1506,0.2075,0.4927,0.0,1.8309859154929553,1
1983_bo (2).txt,1983-10-01,1983,1,1.94,51.01,49.07,1,0.9977,0.1883128205128205,0.2732,0.4948,0.0,0.7903576368306631,1
1983_bo (1).txt,1983-12-01,1983,1,2.25,51.87,49.62,1,0.9974,0.1935068181818182,0.2023,0.449475,0.0,1.6859439325622505,1
1984_bo (8).txt,1984-01-01,1984,1,2.42,52.34,49.92,1,0.9982,0.2027046511627906,0.1027,0.48055,0.2103333333333333,0.9061114324272257,1
1984_bo (7).txt,1984-03-01,1984,1,2.76,53.21,50.45,1,0.9981,0.2434725,0.3182,0.4807,0.0,1.6622086358425658,1
1984_bo (6).txt,1984-05-01,1984,1,2.94,53.93,50.99,1,0.9939,0.1338894736842105,0.0,0.530175,0.1790666666666666,1.353129111069351,1
1984_bo (5).txt,1984-06-01,1984,1,3.08,54.35,51.27,1,0.9946,0.1805864864864864,0.0,0.4472,0.1060666666666666,0.778787316892271,1
1984_bo (4).txt,1984-07-01,1984,1,3.23,54.65,51.42,1,0.9977,0.2053863636363636,0.3182,0.4262249999999999,0.0,0.551977920883151,1
1984_bo (3).txt,1984-09-01,1984,1,3.19,55.09,51.9,1,0.9501,0.0717903225806451,0.2023,0.645,0.0,0.8051235132662482,1
1984_bo (2).txt,1984-10-01,1984,1,3.28,55.36,52.08,1,0.9977,0.192863829787234,0.25,0.44015,0.1087333333333333,0.4901070974768551,1
1984_bo (1).txt,1984-12-01,1984,1,3.41,55.88,52.47,1,0.9613,0.0438204545454545,0.0,0.4119,0.3757999999999999,0.9393063583815087,1
1985_bo (8).txt,1985-01-01,1985,1,3.33,55.99,52.66,1,0.9968,0.1712738095238095,0.0,0.42575,0.0,0.19685039370078705,1
1985_bo (7).txt,1985-03-01,1985,1,3.18,56.22,53.04,1,0.9958,0.1201973684210526,0.0,0.4019,0.0,0.410787640650101,1
1985_bo (6).txt,1985-05-01,1985,1,3.09,56.49,53.4,1,0.8793,0.0293628571428571,0.0,0.2574,0.1087333333333333,0.48025613660620525,1
1985_bo (5).txt,1985-06-01,1985,1,3.12,56.63,53.51,1,0.9984,0.17976,0.0,0.3794,0.1107416666666666,0.24783147459728205,1
1985_bo (4).txt,1985-07-01,1985,1,3.08,56.76,53.68,1,0.9966,0.1654225,0.2732,0.3612,0.0,0.22956030372593972,1
1985_bo (3).txt,1985-09-01,1985,1,3.12,57.17,54.05,1,0.993,0.1378944444444444,0.0,0.443775,0.3462666666666666,0.7223396758280654,1
1985_bo (2).txt,1985-10-01,1985,1,3.14,57.35,54.21,1,0.9856,0.0957846153846153,0.0,0.38615,0.0652499999999999,0.3148504460381396,1
1985_bo (1).txt,1985-12-01,1985,1,3.24,57.78,54.54,1,0.9912,0.0504589285714285,0.0,0.4060499999999999,0.0989111111111111,0.7497820401046296,1
1986_bo (8).txt,1986-01-01,1986,1,3.16,57.91,54.75,1,0.9977,0.22426,0.2732,0.51865,0.0,0.2249913464866582,1
1986_bo (7).txt,1986-03-01,1986,1,3.21,58.13,54.92,1,0.9982,0.189827659574468,0.128,0.45425,0.2800222222222222,0.3798998445864399,1
1986_bo (6).txt,1986-05-01,1986,1,3.04,58.24,55.2,1,0.9983,0.1713199999999999,0.0387,0.4542,-0.0259166666666666,0.18923103388954754,1
1986_bo (5).txt,1986-06-01,1986,1,3.08,58.37,55.29,1,0.9984,0.1741722222222222,0.0,0.4215,0.0,0.22321428571427937,1
1986_bo (4).txt,1986-07-01,1986,1,2.97,58.48,55.51,1,0.9982,0.1988081081081081,0.0,0.5563,0.2715666666666667,0.18845297241734116,1
1986_bo (3).txt,1986-09-01,1986,1,3.0,58.84,55.84,1,0.9982,0.1643673913043478,0.0772,0.4494749999999999,0.0,0.6155950752394057,1
1986_bo (2).txt,1986-10-01,1986,1,3.08,59.09,56.01,1,0.9913,0.0725022727272727,0.0,0.352925,0.1339,0.4248810333106645,1
1986_bo (1).txt,1986-12-01,1986,1,2.96,59.37,56.41,1,0.9943,0.1222236842105263,0.1027,0.3559,0.0,0.4738534438991193,1
1987_bo (8).txt,1987-01-01,1987,1,3.12,59.68,56.56,1,0.9985,0.1816,0.2023,0.467625,0.0,0.5221492336196842,1
1987_bo (7).txt,1987-03-01,1987,1,3.34,60.260000000000005,56.92,1,0.9985,0.2496609756097561,0.296,0.5859,0.0,0.9718498659517572,1
1987_bo (6).txt,1987-05-01,1987,1,3.51,60.88,57.37,1,0.9983,0.1664199999999999,0.128,0.506425,0.0799133333333333,1.0288748755393318,1
1987_bo (5).txt,1987-06-01,1987,1,3.63,61.2,57.57,1,0.9861,0.1140739999999999,0.0,0.4115749999999999,0.0,0.5256241787122251,1
1987_bo (4).txt,1987-07-01,1987,1,3.74,61.53,57.79,1,0.9791,0.1721609756097561,0.0,0.4404,0.2944666666666666,0.5392156862745079,1
1987_bo (3).txt,1987-09-01,1987,1,3.8,61.98,58.18,1,0.9962,0.1838439024390244,0.0,0.4588,0.0,0.731350560702082,1
1987_bo (2).txt,1987-10-01,1987,1,3.75,62.16,58.41,1,0.991,0.0779,0.0,0.296,0.0,0.2904162633107443,1
1987_bo (1).txt,1987-12-01,1987,1,3.64,62.54,58.9,1,0.9914,0.0923175,0.0,0.5658,0.3598,0.6113256113256194,1
1988_bo (8).txt,1988-01-01,1988,1,3.55,62.6,59.05,1,0.9955,0.13038,0.0,0.3612,0.0822333333333333,0.09593859929646342,1
1988_bo (7).txt,1988-03-01,1988,1,3.45,62.99,59.54,1,0.9854,0.0863153846153846,0.0,0.3612,0.3637166666666667,0.623003194888172,1
1988_bo (5).txt,1988-06-01,1988,1,3.02,63.27,60.25,1,0.9953,0.1136422222222222,0.0,0.4404,0.0808,0.44451500238134045,1
1988_bo (4).txt,1988-07-01,1988,1,2.98,63.42,60.44,1,0.9078,0.0165311111111111,0.0,0.4263,0.0,0.23707918444759724,1
1988_bo (3).txt,1988-09-01,1988,1,2.69,63.52,60.83,1,0.9953,0.1245378378378378,0.0,0.34,0.1632333333333333,0.15767896562599582,1
1988_bo (2).txt,1988-10-01,1988,1,2.65,63.68,61.03,1,0.9492,0.0338068181818181,0.0,0.38935,0.2337333333333333,0.25188916876572875,1
1988_bo (1).txt,1988-12-01,1988,1,2.41,63.900000000000006,61.49,1,0.997,0.1326115384615384,0.0772,0.3818,0.0,0.34547738693468943,1
1989_bo (8).txt,1989-01-01,1989,1,2.41,64.07,61.66,1,0.9973,0.1733878048780487,0.0,0.3818,0.0,0.2660406885758748,1
1989_bo (7).txt,1989-03-01,1989,1,1.91,64.07,62.16,1,0.9976,0.1544199999999999,0.0,0.7229,0.3080666666666667,0.0,0
1989_bo (6).txt,1989-05-01,1989,1,1.5,63.94,62.44,1,0.9401,0.0191441860465116,0.0,0.2348,0.0424444444444444,-0.2029030747619731,0
1989_bo (5).txt,1989-06-01,1989,1,1.22,63.76,62.54,1,0.993,0.1009604166666666,0.0,0.318575,0.0286166666666666,-0.28151391929934766,0
1989_bo (4).txt,1989-07-01,1989,1,0.87,63.54,62.67,1,0.9926,0.0942586956521739,0.0,0.4086499999999999,0.0,-0.34504391468004325,0
1989_bo (3).txt,1989-09-01,1989,1,0.32,63.23,62.91,1,0.9028,0.0364860465116278,0.0,0.4145,-0.0555733333333333,-0.48788164935473777,0
1989_bo (2).txt,1989-10-01,1989,1,-0.01,63.03,63.04,0,0.9267,0.1134820512820512,0.0,0.3315,0.2161999999999999,-0.3163055511624213,0
1989_bo (1).txt,1989-12-01,1989,1,-0.49,62.84,63.33,0,0.9267,0.0280255813953488,0.0,0.2123,-0.0725333333333333,-0.30144375694113323,0
