file_name,Date,Year,District,econ_index,econ_index_change,econ_index_change_dummy,compound_score,mean_sentiment,median_sentiment,IQR_sentiment,sentiment_trigram,variance_sentiment,commodities,spending,credit,labor,real_estate,population
1979_bo (6).txt,4/1/1979,1979,1,47.88673479,0,0,0.8284,0.10567027,0,0.4277,0,0.191273502,0,0,0,0,0,11542.8
1979_bo (5).txt,6/1/1979,1979,1,48.34081202,0.948231768,1,-0.3189,-0.003252083,0,0.520375,0,0.151536554,0,0,0,0,0,11542.8
1979_bo (4).txt,8/1/1979,1979,1,48.62842069,0.59496036,1,-0.9199,-0.031011364,0,0.879575,0,0.270020099,0,0,0,0,0,11542.8
1979_bo (3).txt,9/1/1979,1979,1,48.73233549,0.213691488,1,-0.9602,-0.024409091,0.0258,0.8757,0.6808,0.236338658,0,0,0.6808,0,0,11542.8
1979_bo (2).txt,10/1/1979,1979,1,48.82953084,0.199447358,1,0.9886,0.106648936,0,0.60395,0,0.212420005,0,0,0,0,0,11542.8
1979_bo (1).txt,12/1/1979,1979,1,49.0767282,0.506245598,1,0.9926,0.034004762,0,0.683,0,0.1956459,0,0,0,0,0,11542.8
1980_bo (8).txt,1/1/1980,1980,1,49.18954673,0.229881946,1,0.9981,0.175716667,0.2732,0.66195,0,0.188254841,0,0,0,0,0,11541.777
1980_bo (7).txt,3/1/1980,1980,1,49.0831622,-0.216274678,0,0.9941,0.071461224,0,0.5349,0,0.156487518,0,0,0,0,0,11541.777
1980_bo (6).txt,4/1/1980,1980,1,48.93639739,-0.29901254,0,0.9532,0.060779487,0,0.4233,0,0.121893182,0,0,0,0,0,11541.777
1980_bo (5).txt,6/1/1980,1980,1,48.50696425,-0.877533212,0,-0.1452,0.016694872,0,0.5945,0,0.182820608,0,0,0,0,0,11541.777
1980_bo (4).txt,8/1/1980,1980,1,48.65320588,0.301485844,1,0.9774,0.064134146,0.0516,0.8406,0,0.184639329,0,0,0,0,0,11541.777
1980_bo (3).txt,9/1/1980,1980,1,48.77950256,0.259585519,1,-0.9729,-0.008479487,0,0.46045,0.4215,0.14426919,0,0,0.4215,0,0,11541.777
1980_bo (2).txt,10/1/1980,1980,1,49.04483965,0.543952024,1,0.9954,0.101474419,0,0.4891,0,0.142315296,0,0,0,0,0,11541.777
1980_bo (1).txt,12/1/1980,1980,1,49.33321343,0.587979864,1,0.615,0.008828571,0,0.45245,0,0.108251547,0,0,0,0,0,11541.777
1981_bo (8).txt,1/1/1981,1981,1,49.46118096,0.259394282,1,0.9952,0.146415909,0.2023,0.574,0.5574,0.174999205,0,0,0.5574,0,0,11622.596
1981_bo (7).txt,3/1/1981,1981,1,49.59031269,0.261076916,1,0.9978,0.138067391,0.0258,0.49945,0,0.160167836,0,0,0,0,0,11622.596
1981_bo (5).txt,6/1/1981,1981,1,49.7200096,0.261536781,1,0.9971,0.178997826,0.0516,0.4784,0,0.177243098,0,0,0,0,0,11622.596
1981_bo (4).txt,8/1/1981,1981,1,49.55366836,-0.33455592,0,-0.3387,0.012438095,0,0.34345,0,0.153873824,0,0,0,0,0,11622.596
1981_bo (3).txt,9/1/1981,1981,1,49.44631844,-0.216633643,0,-0.9906,0.009759615,0,0.7218,0,0.148709497,0,0,0,0,0,11622.596
1981_bo (2).txt,10/1/1981,1981,1,49.28675205,-0.322706312,0,0.9639,0.019203922,0,0.6174,0,0.174138965,0,0,0,0,0,11622.596
1981_bo (1).txt,12/1/1981,1981,1,48.8883731,-0.808288114,0,-0.9943,0.0141875,0,0.61915,0,0.173329276,0,0,0,0,0,11622.596
1982_bo (8).txt,1/1/1982,1982,1,48.6484212,-0.490815864,0,0.9968,0.065653125,0,0.659525,0,0.197131122,0,0,0,0,0,11649.974
1982_bo (7).txt,3/1/1982,1982,1,48.53447784,-0.234218019,0,-0.9771,-0.014522951,0,0.743,0,0.157984538,0,0,0,0,0,11649.974
1982_bo (6).txt,4/1/1982,1982,1,48.46900296,-0.134903836,0,0.9813,0.067368966,0.0557,0.5682,0,0.146064833,0,0,0,0,0,11649.974
1982_bo (5).txt,6/1/1982,1982,1,48.49381738,0.051196463,1,-0.8028,-0.008994,0,0.8307,0,0.209253442,0,0,0,0,0,11649.974
1982_bo (4).txt,8/1/1982,1982,1,48.59516895,0.208998959,1,0.9974,0.092274194,0,0.671275,0,0.147090026,0,0,0,0,0,11649.974
1982_bo (3).txt,9/1/1982,1982,1,48.63028216,0.072256586,1,0.9868,0.065,0,0.443825,0,0.1661574,0,0,0,0,0,11649.974
1982_bo (2).txt,10/1/1982,1982,1,48.62174894,-0.017547143,0,0.9968,0.180850943,0.2235,0.645,0.1406,0.159090465,0,0,0.1406,0,0,11649.974
