Date,USPHCI,District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9,District 10,District 11,District 12
4/1/1979,46.14,46.36,56.06,58.01,62.39,45.99,43.72,62.04,57.22,51,50.12,40.48,40.51
5/1/1979,46.37,46.59,56.19,58.16,62.51,46.13,43.86,62.17,57.3,51.16,50.27,40.64,40.67
6/1/1979,46.5,46.8,56.29,58.29,62.59,46.23,43.97,62.2,57.33,51.26,50.36,40.79,40.85
7/1/1979,46.62,46.9,56.28,58.31,62.52,46.33,44,62.11,57.24,51.27,50.43,40.95,41
8/1/1979,46.68,47.11,56.35,58.3,62.51,46.36,44.14,61.91,57.2,51.27,50.51,41.11,41.08
9/1/1979,46.78,47.21,56.36,58.33,62.49,46.43,44.24,61.64,57.1,51.23,50.54,41.24,41.18
10/1/1979,46.87,47.31,56.4,58.4,62.52,46.5,44.45,61.38,57,51.23,50.67,41.46,41.29
11/1/1979,46.99,47.43,56.52,58.51,62.54,46.57,44.62,61.11,56.94,51.12,50.78,41.64,41.45
12/1/1979,47.05,47.54,56.72,58.62,62.49,46.63,44.7,60.88,56.83,50.96,50.82,41.75,41.54
1/1/1980,47.09,47.63,56.85,58.61,62.33,46.69,44.79,60.53,56.69,50.81,50.85,41.9,41.55
2/1/1980,47.19,47.7,56.96,58.51,62.01,46.6,44.88,60.02,56.4,50.61,50.82,41.93,41.58
3/1/1980,47.26,47.52,56.88,58.32,61.49,46.41,44.82,59.35,56.03,50.31,50.61,42,41.5
4/1/1980,47.16,47.39,56.66,57.9,60.77,46.22,44.74,58.54,55.57,49.97,50.39,42.13,41.36
5/1/1980,47.02,47.18,56.64,57.56,60.07,46.06,44.68,57.81,55.18,49.66,50.17,42.18,41.25
6/1/1980,46.92,46.96,56.55,57.17,59.44,45.81,44.61,57.18,54.76,49.36,49.83,42.27,41.13
7/1/1980,46.82,46.95,56.59,56.9,59.01,45.7,44.66,56.84,54.51,49.22,49.7,42.45,41.09
8/1/1980,46.9,47.05,56.66,56.94,58.94,45.79,44.74,56.8,54.5,49.2,49.75,42.6,41.17
9/1/1980,46.99,47.18,56.75,56.96,59.06,45.94,44.86,56.91,54.55,49.36,49.93,42.78,41.32
10/1/1980,47.11,47.45,56.98,57.38,59.29,46.09,44.98,57.2,54.69,49.55,50.14,42.98,41.48
11/1/1980,47.23,47.61,57.08,57.54,59.51,46.21,45.06,57.46,54.83,49.8,50.37,43.2,41.65
12/1/1980,47.42,47.75,57.18,57.84,59.68,46.38,45.16,57.71,54.97,50.04,50.59,43.35,41.79
1/1/1981,47.47,47.91,57.19,57.96,59.75,46.43,45.23,57.9,55.12,50.21,50.85,43.54,41.92
2/1/1981,47.62,47.95,57.29,58.09,59.83,46.5,45.26,58.02,55.23,50.29,51.08,43.73,42
3/1/1981,47.7,48.05,57.37,58.19,59.98,46.55,45.32,58.24,55.32,50.53,51.22,43.91,42.08
4/1/1981,47.83,48.1,57.51,58.16,60.01,46.57,45.4,58.45,55.43,50.67,51.45,44.1,42.2
