,file_names,vader_sentiment
528,2002_bo (5)_chunk_6.txt,positive
491,1999_ri (1)_chunk_1.txt,positive
888,2019_bo (6)_chunk_6.txt,positive
899,2019_ri (6)_chunk_1.txt,positive
960,2023_at (7)_chunk_6.txt,mixed
853,2017_kc (8)_chunk_5.txt,positive
541,2003_bo (4)_chunk_4.txt,positive
157,1978_at (6)_chunk_1.txt,positive
902,2020_at (1)_chunk_2.txt,positive
124,1976_ny (6)_chunk_3.txt,negative
776,2014_at (8)_chunk_4.txt,positive
122,1976_ns (7)_chunk_4.txt,negative
174,1978_sl (8)_chunk_3.txt,positive
464,1998_kc (3)_chunk_2.txt,positive
632,2007_bo (7)_chunk_4.txt,positive
972,2023_kc (7)_chunk_2.txt,positive
313,1989_da (3)_chunk_2.txt,positive
849,2017_bo (5)_chunk_1.txt,positive
860,2017_sl (5)_chunk_6.txt,positive
152,1977_ph (4)_chunk_1.txt,positive
770,2013_ny (4)_chunk_2.txt,positive
364,1992_mn (4)_chunk_2.txt,positive
461,1998_da (4)_chunk_4.txt,positive
661,2008_cl (3)_chunk_1.txt,positive
697,2010_ns (4)_chunk_7.txt,positive
306,1988_sl (7)_chunk_3.txt,positive
370,1992_ph (4)_chunk_4.txt,positive
515,2001_ns (1)_chunk_1.txt,positive
407,1994_mn (7)_chunk_5.txt,positive
179,1979_bo (8)_chunk_2.txt,positive
492,2000_at (2)_chunk_2.txt,positive
815,2015_ns (6)_chunk_8.txt,positive
806,2015_ch (3)_chunk_3.txt,positive
12,1970_ny (1)_chunk_3.txt,mixed
775,2013_sf (5)_chunk_1.txt,negative
601,2005_ri (5)_chunk_6.txt,positive
479,1999_ch (8)_chunk_2.txt,positive
383,1993_ns (1)_chunk_5.txt,positive
213,1981_ns (4)_chunk_5.txt,negative
396,1994_bo (7)_chunk_1.txt,positive
866,2018_bo (7)_chunk_4.txt,positive
489,1999_ny (8)_chunk_1.txt,positive
954,2022_ri (7)_chunk_1.txt,positive
360,1992_cl (8)_chunk_4.txt,positive
976,2023_ns (7)_chunk_2.txt,positive
568,2004_bo (7)_chunk_1.txt,positive
663,2008_cl (8)_chunk_3.txt,positive
376,1993_bo (1)_chunk_2.txt,mixed
453,1997_sf (1)_chunk_1.txt,positive
419,1995_cl (2)_chunk_3.txt,positive
217,1982_ch (8)_chunk_5.txt,negative
92,1975_at (8)_chunk_4.txt,positive
51,1973_cl (12)_chunk_3.txt,positive
390,1993_sl (6)_chunk_3.txt,positive
180,1979_ch (1)_chunk_4.txt,positive
490,1999_ph (8)_chunk_2.txt,positive
309,1989_cl (6)_chunk_1.txt,positive
368,1992_ny (5)_chunk_2.txt,positive
342,1990_sl (5)_chunk_2.txt,positive
897,2019_ph (6)_chunk_1.txt,positive
411,1994_ph (7)_chunk_5.txt,negative
730,2011_sf (7)_chunk_2.txt,positive
981,2023_ph (6)_chunk_5.txt,positive
189,1979_sf (9)_chunk_1.txt,positive
547,2003_cl (7)_chunk_6.txt,positive
882,2018_sl (8)_chunk_1.txt,positive
563,2003_ri (6)_chunk_4.txt,positive
430,1996_da (1)_chunk_5.txt,positive
738,2012_cl (2)_chunk_7.txt,negative
908,2020_kc (1)_chunk_2.txt,positive
994,2024_da (8)_chunk_3.txt,positive
450,1997_ny (2)_chunk_3.txt,positive
720,2011_ny (8)_chunk_5.txt,negative
203,1980_ri (9)_chunk_1.txt,positive
950,2022_ph (4)_chunk_5.txt,positive
426,1995_ns (4)_chunk_7.txt,positive
911,2020_mn (2)_chunk_6.txt,positive
925,2021_cl (7)_chunk_1.txt,mixed
