Variable,VIF_x,VIF_y
Capital,3.300496210573258,3.2133172064783015
Construction,5.923758262800829,3.779542560723602
Consumption,9.288461532669634,Removed
Employment,5.8902611271454335,5.558650185470276
Labor,4.963363835885607,4.707349968684645
Lending,10.210294863663414,Removed
Manufacturing,5.47494166174034,4.597238338512655
Outlook,2.980608980938087,2.8356854654555628
Prices,5.436209658690279,5.238182828220745
Resources,3.8252212338079254,3.3528291230188505
Trade,1.9511338788686652,1.9089780187905503
Transportation,3.900090626678529,3.7073495623518413
Uncertainty,3.4465002539547362,3.4349298385581806
