file_name,Date,Year,District,econ_index,econ_index_levels,USPHCI,econ_index_dummy,compound_score,mean_sentiment,median_sentiment,IQR_sentiment,sentiment_trigram
1979_bo (6).txt,1979-05-01,1979,1,0.22,46.589999999999996,46.37,1,0.8284,0.10567027027027028,0.0,0.42769999999999997,0.0
1979_ny (6).txt,1979-05-01,1979,2,9.82,56.19,46.37,1,0.9868,0.14767096774193544,0.1761,0.3715,0.07155
1979_ph (6).txt,1979-05-01,1979,3,11.79,58.16,46.37,1,0.9954,0.13772619047619047,0.0,0.37134999999999996,0.166
1979_cl (6).txt,1979-05-01,1979,4,16.14,62.51,46.37,1,0.3092,-0.015306249999999993,0.0,0.4336,0.0
1979_ri (6).txt,1979-05-01,1979,5,-0.24,46.129999999999995,46.37,0,0.9954,0.1699645161290323,0.0857,0.54095,0.0
1979_at (6).txt,1979-05-01,1979,6,-2.51,43.86,46.37,0,-0.9867,-0.07807291666666666,0.0,0.7829999999999999,0.4225
1979_ch (6).txt,1979-05-01,1979,7,15.8,62.17,46.37,1,0.8076,0.0361875,0.0,0.2861,0.0
1979_sl (6).txt,1979-05-01,1979,8,10.93,57.3,46.37,1,0.9486,0.15654848484848483,0.0772,0.4215,0.0
1979_mn (6).txt,1979-05-01,1979,9,4.79,51.16,46.37,1,-0.9761,-0.08746857142857144,0.0,0.54275,-0.08163333333333331
1979_kc (6).txt,1979-05-01,1979,10,3.9,50.269999999999996,46.37,1,0.9947,0.18176756756756757,0.1217,0.4939,0.2506333333333333
1979_da (6).txt,1979-05-01,1979,11,-5.73,40.64,46.37,0,0.9681,0.0746288888888889,0.0,0.3182,0.6145666666666667
1979_sf (6).txt,1979-05-01,1979,12,-5.7,40.669999999999995,46.37,0,0.9935,0.20949062499999999,0.296,0.690575,0.0
1979_bo (5).txt,1979-06-01,1979,1,0.3,46.8,46.5,1,-0.3189,-0.003252083333333331,0.0,0.520375,0.0
1979_ny (5).txt,1979-06-01,1979,2,9.79,56.29,46.5,1,0.9721,0.06466315789473685,0.0,0.597275,0.5176999999999999
1979_ph (5).txt,1979-06-01,1979,3,11.79,58.29,46.5,1,-0.9984,-0.15234576271186442,0.0,0.4577,0.0
1979_cl (5).txt,1979-06-01,1979,4,16.09,62.59,46.5,1,-0.9753,-0.03887708333333333,0.0,0.25732499999999997,0.0
