rank,trigram,tfidf_score
1,commercial real estate,35.11545964
2,since last report,33.69083718
3,new york city,24.11217913
4,residential real estate,23.2104208
5,since previous report,21.41395342
6,next six months,20.47254987
7,real estate activity,20.14314703
8,construction real estate,17.41561762
9,real estate markets,16.66649849
10,real estate construction,15.19474412
11,past six weeks,12.9589315
12,compared year ago,12.50057623
13,commercial industrial loans,11.61745406
14,real estate loans,11.51281191
15,real estate contacts,9.917307428
16,real estate market,9.892886527
17,upstate new york,9.806732641
18,real estate agents,9.522750415
19,previous survey period,9.260302902
20,last beige book,8.99171322
21,compared year earlier,8.944622422
22,percent year ago,8.938242656
23,natural gas prices,8.692071361
24,compared last year,8.638166517
25,percent year earlier,8.595062712
26,percent last year,8.543633851
27,higher year ago,8.463534207
28,real estate lending,8.45371316
29,summary economic activity,8.209770446
30,previous reporting period,8.031109432
31,shipments new orders,7.955067742
32,northern new jersey,7.935823055
33,period last year,7.80260491
34,new york state,7.671307453
35,capital spending plans,7.632087767
36,since last survey,7.593697733
37,october early november,7.578888492
38,district economic conditions,7.013166273
39,higher interest rates,6.994843005
40,manufacturing manufacturing activity,6.986189592
41,contacts continued report,6.974002321
42,minneapolisst paul area,6.957874749
43,since last beige,6.912251724
44,labor market conditions,6.745850665
45,district manufacturing activity,6.498155215
46,office vacancy rates,6.492433388
47,june early july,6.459781258
48,economic conditions visit,6.395714207
49,information district economic,6.395714207
50,reported little change,6.313539313
51,new home sales,6.284858035
52,time last year,6.282930944
53,since previous survey,6.257035494
54,last year levels,6.120753546
55,overall loan demand,6.061776944
56,next three months,6.050045908
57,one contact noted,6.00946052
58,spending consumer spending,6.006888732
59,consumer spending consumer,6.002092398
60,mortgage interest rates,5.952129506
61,consumer loan demand,5.946626982
62,winter wheat crop,5.915274105
63,business loan demand,5.869532348
64,consumer spending tourism,5.864466395
65,beige book period,5.813369042
66,january early february,5.784160383
67,residential construction activity,5.562750639
68,existing home sales,5.523557849
69,auto dealers reported,5.479722142
70,agriculture natural resources,5.471066622
71,march early april,5.448403923
72,new orders shipments,5.425581296
73,real estate residential,5.407760286
74,real estate commercial,5.377340411
75,rising interest rates,5.338976785
76,upper peninsula michigan,5.335621484
77,professional business services,5.303882456
78,second half year,5.26418878
79,commercial construction activity,5.264096595
80,manufacturing business activity,5.245220285
81,new car sales,5.22047238
82,september early october,5.196722238
83,demand commercial industrial,5.15465247
84,previous beige book,5.109338885
85,next 12 months,5.101490015
86,oil natural gas,5.053552019
87,tight labor markets,5.029180081
88,third district manufacturers,5.02546795
89,agriculture resourcerelated industries,5.012940745
90,demand commercial real,4.987702315
91,last year level,4.962102074
92,activity remained strong,4.950634676
93,district economic activity,4.93926419
94,estate construction residential,4.931553105
95,several contacts noted,4.920572856
96,retail trade services,4.878914176
97,activity third district,4.821993066
98,past three months,4.815877192
99,third district banks,4.742080968
100,commercial industrial lending,4.723823891
